,additional_info,address,latitude,longitude,name,phone_number,type,url
11786,Yelp Rating: 2.0 Reviews: 20,260 E 161st St,40.8256440315781,-73.9193890171496,Chipotle Mexican Grill,17186655238,Restaurants,https://www.yelp.com/biz/chipotle-mexican-grill-bronx-4?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11787,Yelp Rating: 2.0 Reviews: 8,216 E 161st St,40.824929010963295,-73.9204446024512,Burger King,19174719288,Restaurants,https://www.yelp.com/biz/burger-king-bronx-20?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11788,Yelp Rating: 1.0 Reviews: 2,220 E 161st St,40.8249534100062,-73.92044609101559,Domino’s Pizza,19176883778,Restaurants,https://www.yelp.com/biz/domino-s-pizza-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11789,Yelp Rating: 4.5 Reviews: 6,890 Morris Ave,40.82617,-73.91794,Aminas Cafe,19176319203,Food,https://www.yelp.com/biz/aminas-cafe-bronx-2?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11790,Yelp Rating: 3.0 Reviews: 22,260 East 161st Street,40.825711,-73.919425,Starbucks,16468599582,Food,https://www.yelp.com/biz/starbucks-bronx-10?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11791,Yelp Rating: 3.0 Reviews: 20,238 E. 161st Street,40.825379999999996,-73.91979,Food Bazaar Supermarket,17185383720,Food,https://www.yelp.com/biz/food-bazaar-supermarket-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11792,Yelp Rating: 2.5 Reviews: 9,244 E 161st St,40.8258876,-73.9194463,Walgreens,17184105950,Food,https://www.yelp.com/biz/walgreens-bronx-14?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11793,Yelp Rating: 3.0 Reviews: 1,222 E 161st St,40.8259327,-73.9200002,GNC,17185373573,Food,https://www.yelp.com/biz/gnc-bronx-10?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11794,Yelp Rating: 3.5 Reviews: 3,196 E 161st St,40.826337933540295,-73.9213217049837,Twin Donuts,17189937050,Food,https://www.yelp.com/biz/twin-donuts-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11795,Yelp Rating: 5.0 Reviews: 1,273 E 165th St,40.829319,-73.9160843,Rijos Wines & Liquors,17182933229,Food,https://www.yelp.com/biz/rijos-wines-and-liquors-new-york?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11796,Yelp Rating: 2.5 Reviews: 13,305 E 161st St,40.825509999999994,-73.91696,Montefiore Department of Dentistry,18887006623,Health,https://www.yelp.com/biz/montefiore-department-of-dentistry-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11797,Yelp Rating: 1.0 Reviews: 3,305 E 161st St,40.825477600097706,-73.91693115234379,Montefiore Medical Center,17184100834,Health,https://www.yelp.com/biz/montefiore-medical-center-bronx-6?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11798,Yelp Rating: 5.0 Reviews: 1,280 E 161st St,40.8253855087318,-73.9184281515193,Sage Medical Plaza,17183935566,Health,https://www.yelp.com/biz/sage-medical-plaza-new-york?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11799,Yelp Rating: 5.0 Reviews: 1,E 161 St & Morris Ave,40.825599700000005,-73.9184265,"Professional Dental Services, PC",12127380005,Health,https://www.yelp.com/biz/professional-dental-services-pc-bronx-3?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11800,Yelp Rating: 3.0 Reviews: 16,220 E 161st St,40.824502200000005,-73.91990770000001,Eye Express Optical,17186819744,Health,https://www.yelp.com/biz/eye-express-optical-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11801,Yelp Rating: 5.0 Reviews: 6,790 Concourse Village W,40.82405,-73.92168000000001,Darryl Lieberman DDS & Associates,17185026256,Health,https://www.yelp.com/biz/darryl-lieberman-dds-and-associates-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11802,Yelp Rating: 4.5 Reviews: 4,910 Grand Concourse,40.827808000000005,-73.921586,"Todd M Aordkian, DC",17185377778,Health,https://www.yelp.com/biz/todd-m-aordkian-dc-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11803,Yelp Rating: 1.0 Reviews: 3,910 Grand Concourse,40.8277931213379,-73.9215621948242,B & B Dentist,17185385588,Health,https://www.yelp.com/biz/b-and-b-dentist-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11804,Yelp Rating: 4.5 Reviews: 7,120 Mt Eden Ave,40.84323,-73.91249,King Dragon,17187313188,Restaurants,https://www.yelp.com/biz/king-dragon-bronx-4?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11805,Yelp Rating: 2.0 Reviews: 11,19 W 170th St,40.84057,-73.91779100000001,Wendy's,17186810483,Restaurants,https://www.yelp.com/biz/wendys-bronx-6?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11806,Yelp Rating: 3.5 Reviews: 24,21 E 170th St,40.839960600000005,-73.9168665,Munch Time Diner,17189927347,Restaurants,https://www.yelp.com/biz/munch-time-diner-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11807,Yelp Rating: 5.0 Reviews: 2,18 E 170th St,40.839866799999996,-73.9171346,Subway,17186816268,Restaurants,https://www.yelp.com/biz/subway-bronx-77?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11808,Yelp Rating: 2.0 Reviews: 10,51 E 170th St,40.8399315,-73.9165497,Caridad Restaurant,17186810003,Restaurants,https://www.yelp.com/biz/caridad-restaurant-bronx-8?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
11809,Yelp Rating: 4.0 Reviews: 22,6 E Mount Eden Ave,40.8441642,-73.91465749999999,1 Banana Queen,17187310039,Food,https://www.yelp.com/biz/1-banana-queen-bronx?adjust_creative=_9bUF62lB7SS1867wxZM_Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=_9bUF62lB7SS1867wxZM_Q
